datetime	capital
11/24/2025 9:35	11008.75
11/24/2025 9:52	10442.5
11/24/2025 10:16	10596.25
11/24/2025 11:04	10810
11/24/2025 11:39	10952.5
11/24/2025 11:53	12058.75
11/25/2025 9:23	11522.5
11/25/2025 9:26	11012.5
11/27/2025 9:43	11878.75
11/27/2025 9:59	13030
11/28/2025 9:26	12973.75
11/28/2025 9:40	13108.75
11/28/2025 9:47	12883.75
11/28/2025 10:26	12797.5
11/28/2025 11:45	12441.25
11/28/2025 12:13	12610
12/1/2025 9:43	12006.25
12/1/2025 10:36	11578.75
12/2/2025 9:30	12400
12/2/2025 9:33	11942.5
12/2/2025 10:57	11578.75
12/2/2025 11:13	10903.75
12/3/2025 9:26	11680
12/3/2025 12:15	11860
12/3/2025 12:37	12002.5
12/3/2025 13:43	11233.75
12/3/2025 14:16	10903.75
12/3/2025 14:25	10930
12/3/2025 14:39	11117.5
12/3/2025 14:53	11878.75
12/4/2025 12:09	11481.25
12/4/2025 15:00	12396.25
12/5/2025 9:26	12422.5
12/5/2025 9:33	11987.5
12/5/2025 9:42	11620
12/5/2025 10:00	12482.5
12/5/2025 10:04	14500
12/8/2025 9:25	14308.75
12/9/2025 10:17	14492.5
12/9/2025 10:36	14361.25
12/9/2025 10:40	13847.5
12/9/2025 10:56	13540
12/9/2025 14:42	13633.75
12/9/2025 15:01	13202.5
12/10/2025 9:21	12632.5
12/10/2025 9:32	13600
12/10/2025 10:52	14485
12/11/2025 9:37	15636.25
12/11/2025 10:13	16757.5
12/12/2025 10:01	16453.75
12/12/2025 10:16	16045
12/12/2025 10:22	17095
12/12/2025 12:14	16648.75
12/15/2025 9:55	16262.5
12/15/2025 10:42	15632.5
12/16/2025 9:55	15190
12/16/2025 13:50	15028.75
12/16/2025 14:05	15088.75
12/17/2025 9:32	14620
12/17/2025 9:48	15662.5
12/18/2025 9:36	15583.75
12/18/2025 9:42	16435
12/18/2025 10:12	17398.75
12/18/2025 14:11	18231.25
12/19/2025 10:09	17766.25
12/19/2025 10:17	17593.75
12/19/2025 11:29	18351.25
12/19/2025 13:00	17980
12/19/2025 13:36	18756.25
12/22/2025 9:48	18790
12/23/2025 9:22	18152.5
12/23/2025 10:01	19210
12/23/2025 10:26	18887.5
12/23/2025 10:41	18400
12/23/2025 11:52	18043.75
12/24/2025 11:05	18077.5
12/24/2025 11:24	18220
12/24/2025 11:44	19022.5
12/24/2025 12:40	18610
12/26/2025 9:37	19600
12/26/2025 11:05	19258.75
