option_type	strike	entry_time	entry_price	entry_spot	entry_fut	exit_time	exit_price	exit_reason	pnl_points	pnl_rupees	hold_minutes	is_winner	peak_price	expiry	capital_after
CE	26100	11/24/2025 11:25	90.1	26122.6	26148	11/24/2025 11:40	95.6	TRAILING_STOP	5.5	412.5	15	TRUE	99.6	11/25/2025	10412.5
PE	26100	11/24/2025 11:45	57.35	26097.65	26120.3	11/24/2025 11:55	72.55	TARGET	15.2	1140	10	TRUE	72.55	11/25/2025	11552.5
PE	26050	11/24/2025 12:05	51.45	26072.9	26092	11/24/2025 12:15	53.85	TRAILING_STOP	2.4	180	10	TRUE	57.65	11/25/2025	11732.5
PE	26050	11/24/2025 12:50	46.05	26074.85	26089.6	11/24/2025 13:00	47.1	TRAILING_STOP	1.05	78.75	10	TRUE	52.5	11/25/2025	11811.25
PE	26050	11/24/2025 14:00	55.65	26050.75	26071	11/24/2025 14:10	66.7	TARGET	11.05	828.75	10	TRUE	66.7	11/25/2025	12640
CE	26000	11/25/2025 10:05	53.2	26005.15	26011	11/25/2025 10:15	70.2	TARGET	17	1275	10	TRUE	70.2	11/25/2025	13915
PE	25950	11/25/2025 10:55	37.95	25939.1	25937	11/25/2025 11:00	58.25	TARGET	20.3	1522.5	5	TRUE	58.25	11/25/2025	15437.5
CE	26050	11/26/2025 9:25	119.65	25979.9	26176.2	11/26/2025 9:35	143.85	TARGET	24.2	1815	10	TRUE	143.85	12/2/2025	17252.5
CE	26100	11/26/2025 9:40	112.6	26024.1	26224.6	11/26/2025 9:45	139	TARGET	26.4	1980	5	TRUE	139	12/2/2025	19232.5
CE	26300	11/27/2025 9:55	120.55	26283.9	26464.8	11/27/2025 10:00	131.6	TARGET	11.05	828.75	5	TRUE	131.6	12/2/2025	20061.25
CE	26350	11/27/2025 10:45	101.65	26299.35	26480	11/27/2025 10:50	111.7	TARGET	10.05	753.75	5	TRUE	111.7	12/2/2025	20815
PE	26250	11/27/2025 11:45	96.9	26238	26410.1	11/27/2025 11:50	111	TARGET	14.1	1057.5	5	TRUE	111	12/2/2025	21872.5
CE	26250	11/28/2025 9:25	94.2	26229.65	26408.3	11/28/2025 9:35	110.1	TARGET	15.9	1192.5	10	TRUE	110.1	12/2/2025	23065
