option_type,strike,entry_time,entry_price,entry_spot,entry_fut,exit_time,exit_price,exit_reason,pnl_points,pnl_rupees,hold_minutes,is_winner,peak_price,expiry,capital_after
PE,26100,2025-11-24 09:57:00,75.45,26085.4,26105.2,2025-11-24 10:00:00,70.2,STOP_LOSS,-5.25,-393.75,3.0,False,75.45,2025-11-25,9606.25
CE,26100,2025-11-24 10:03:00,95.05,26112.55,26130.0,2025-11-24 10:18:00,98.0,TRAILING_STOP,2.95,221.25,15.0,True,104.5,2025-11-25,9827.5
CE,26150,2025-11-24 10:21:00,75.05,26125.85,26145.9,2025-11-24 10:45:00,74.3,TRAILING_STOP,-0.75,-56.25,24.0,False,79.25,2025-11-25,9771.25
PE,26100,2025-11-24 10:57:00,57.35,26108.4,26130.0,2025-11-24 11:12:00,62.0,TRAILING_STOP,4.65,348.75,15.0,True,66.0,2025-11-25,10120.0
PE,26100,2025-11-24 11:15:00,67.1,26092.95,26117.0,2025-11-24 11:27:00,55.75,STOP_LOSS,-11.35,-851.25,12.0,False,67.8,2025-11-25,9268.75
CE,26100,2025-11-24 11:30:00,97.05,26122.15,26147.4,2025-11-24 11:45:00,89.2,STOP_LOSS,-7.85,-588.75,15.0,False,100.0,2025-11-25,8680.0
CE,26000,2025-11-25 09:33:00,38.55,25975.15,25981.4,2025-11-25 09:57:00,43.15,TRAILING_STOP,4.6,345.0,24.0,True,47.0,2025-11-25,9025.0
CE,26000,2025-11-25 10:00:00,54.45,25998.3,26010.0,2025-11-25 10:03:00,48.8,STOP_LOSS,-5.65,-423.75,3.0,False,54.45,2025-11-25,8601.25
CE,26000,2025-11-25 10:06:00,51.0,25997.85,26004.0,2025-11-25 10:12:00,67.85,TARGET,16.85,1263.75,6.0,True,67.85,2025-11-25,9865.0
CE,26000,2025-11-25 10:15:00,70.2,26021.95,26028.1,2025-11-25 10:18:00,65.0,STOP_LOSS,-5.2,-390.0,3.0,False,70.2,2025-11-25,9475.0
CE,26000,2025-11-25 10:27:00,67.8,26010.55,26021.6,2025-11-25 10:33:00,62.8,STOP_LOSS,-5.0,-375.0,6.0,False,67.8,2025-11-25,9100.0
PE,25950,2025-11-25 10:54:00,33.8,25953.25,25951.1,2025-11-25 10:57:00,51.5,TARGET,17.7,1327.5,3.0,True,51.5,2025-11-25,10427.5
PE,25950,2025-11-25 11:00:00,58.25,25932.0,25930.3,2025-11-25 11:15:00,46.6,STOP_LOSS,-11.65,-873.75,15.0,False,59.0,2025-11-25,9553.75
PE,25950,2025-11-25 11:45:00,41.35,25955.75,25957.9,2025-11-25 11:48:00,31.3,STOP_LOSS,-10.05,-753.75,3.0,False,41.35,2025-11-25,8800.0
CE,25950,2025-11-25 11:54:00,52.05,25982.45,25984.7,2025-11-25 11:57:00,70.1,TARGET,18.05,1353.75,3.0,True,70.1,2025-11-25,10153.75
CE,26000,2025-11-25 12:00:00,38.75,25984.7,25995.6,2025-11-25 12:12:00,29.15,STOP_LOSS,-9.6,-720.0,12.0,False,38.75,2025-11-25,9433.75
PE,26000,2025-11-25 12:18:00,53.15,25954.75,25957.8,2025-11-25 12:27:00,51.05,TRAILING_STOP,-2.1,-157.5,9.0,False,61.15,2025-11-25,9276.25
CE,25950,2025-11-25 12:42:00,52.05,25987.45,25984.6,2025-11-25 12:54:00,62.5,TARGET,10.45,783.75,12.0,True,62.5,2025-11-25,10060.0
CE,25950,2025-11-25 13:06:00,53.9,25996.35,25998.6,2025-11-25 13:09:00,65.85,TARGET,11.95,896.25,3.0,True,65.85,2025-11-25,10956.25
CE,26050,2025-11-26 09:21:00,123.15,25967.9,26158.0,2025-11-26 09:33:00,140.65,TARGET,17.5,1312.5,12.0,True,140.65,2025-12-02,12268.75
CE,26100,2025-11-26 09:36:00,114.05,26002.65,26192.0,2025-11-26 09:45:00,139.0,TARGET,24.95,1871.25,9.0,True,139.0,2025-12-02,14140.0
CE,26350,2025-11-27 09:21:00,101.55,26288.75,26465.0,2025-11-27 09:39:00,86.6,STOP_LOSS,-14.95,-1121.25,18.0,False,101.55,2025-12-02,13018.75
CE,26250,2025-11-28 09:27:00,107.65,26229.65,26408.3,2025-11-28 09:30:00,103.05,STOP_LOSS,-4.6,-345.0,3.0,False,107.65,2025-12-02,12673.75
CE,26250,2025-11-28 09:39:00,96.5,26235.65,26416.6,2025-11-28 09:45:00,95.55,TRAILING_STOP,-0.95,-71.25,6.0,False,104.8,2025-12-02,12602.5
CE,26250,2025-11-28 09:51:00,106.95,26245.75,26426.4,2025-11-28 10:03:00,118.25,TARGET,11.3,847.5,12.0,True,118.25,2025-12-02,13450.0
