option_type,strike,entry_time,entry_price,entry_spot,entry_fut,exit_time,exit_price,exit_reason,pnl_points,pnl_rupees,hold_minutes,is_winner,peak_price,expiry,capital_after
CE,26100,2025-11-24 10:00:00,90.25,26106.75,26135.0,2025-11-24 10:09:00,101.55,TARGET,11.3,847.5,9.0,True,101.55,2025-11-25,10847.5
PE,26100,2025-11-24 10:57:00,57.35,26108.4,26130.0,2025-11-24 11:12:00,62.0,TRAILING_STOP,4.65,348.75,15.0,True,66.0,2025-11-25,11196.25
CE,26100,2025-11-24 11:24:00,85.35,26109.6,26136.9,2025-11-24 11:30:00,97.05,TARGET,11.7,877.5,6.0,True,97.05,2025-11-25,12073.75
PE,25950,2025-11-25 09:48:00,45.0,25955.3,25955.0,2025-11-25 09:54:00,35.0,STOP_LOSS,-10.0,-750.0,6.0,False,45.0,2025-11-25,11323.75
PE,25950,2025-11-25 10:54:00,33.8,25953.25,25951.1,2025-11-25 10:57:00,51.5,TARGET,17.7,1327.5,3.0,True,51.5,2025-11-25,12651.25
CE,25950,2025-11-25 11:48:00,48.85,25969.55,25973.6,2025-11-25 11:57:00,70.1,TARGET,21.25,1593.75,9.0,True,70.1,2025-11-25,14245.0
PE,26250,2025-11-27 09:39:00,105.95,26242.5,26420.2,2025-11-27 09:48:00,108.45,TRAILING_STOP,2.5,187.5,9.0,True,112.6,2025-12-02,14432.5
CE,26300,2025-11-27 09:51:00,114.55,26264.7,26444.0,2025-11-27 10:00:00,131.6,TARGET,17.05,1278.75,9.0,True,131.6,2025-12-02,15711.25
PE,26250,2025-11-27 11:30:00,94.7,26269.55,26441.0,2025-11-27 11:36:00,95.05,TRAILING_STOP,0.35,26.25,6.0,True,99.4,2025-12-02,15737.5
PE,26200,2025-11-28 09:21:00,78.55,26219.35,26402.3,2025-11-28 09:27:00,76.5,TRAILING_STOP,-2.05,-153.75,6.0,False,84.6,2025-12-02,15583.75
