Timestamp,Spot,RSI,RSI_Ready,VWAP,ATM_Strike,PCR,CE_Price,PE_Price,CE_OI,PE_OI,CE_Delta,PE_Delta,Status,PnL,Reason
10:11:14,25992.2,54,True,26160.82,26000,0.76,127.75,81.05,228696,192002,0.5743,-0.4257,SCANNING_BULLISH_FULL,0,Waiting for entry (FULL mode)
10:11:35,25992.45,54,True,26160.82,26000,0.76,125.95,81.7,228696,192002,0.5726,-0.4274,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
10:11:42,25992.45,54,True,26160.82,26000,0.76,126.35,81.6,228696,192002,0.5734,-0.4266,SCANNING_BULLISH_FULL,0,Waiting for entry (FULL mode)
10:11:49,25994.0,55,True,26160.82,26000,0.76,127.3,80.85,228696,192002,0.5718,-0.4282,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
10:11:56,25991.5,53,True,26160.83,26000,0.76,127.1,81.25,228696,192002,0.5718,-0.4282,SCANNING_BULLISH_FULL,0,Waiting for entry (FULL mode)
10:12:02,25995.05,56,True,26160.82,26000,0.76,127.2,81.05,228696,192002,0.5735,-0.4265,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
10:12:16,25996.15,57,True,26160.83,26000,0.76,127.75,80.95,228696,192002,0.5745,-0.4255,IN_POSITION_CE@26000,26.25,Monitoring @ Rs.127.75
10:12:24,25996.2,57,True,26160.82,26000,0.76,128.05,80.55,228696,192002,0.5734,-0.4266,IN_POSITION_CE@26000,48.75,Monitoring @ Rs.128.05
10:12:31,25995.05,56,True,26160.83,26000,0.76,127.75,80.55,228696,192002,0.5734,-0.4266,IN_POSITION_CE@26000,26.25,Monitoring @ Rs.127.75
10:12:37,25993.3,55,True,26160.82,26000,0.76,127.15,81.25,228696,192002,0.5747,-0.4253,IN_POSITION_CE@26000,-18.75,Monitoring @ Rs.127.15
10:12:45,25994.3,55,True,26160.84,26000,0.77,127.4,81.1,228586,198495,0.5747,-0.4253,IN_POSITION_CE@26000,0.0,Monitoring @ Rs.127.40
10:12:53,25993.25,54,True,26160.84,26000,0.77,127.05,81.25,228586,198495,0.5746,-0.4254,IN_POSITION_CE@26000,-26.25,Monitoring @ Rs.127.05
10:13:01,25993.25,54,True,26160.84,26000,0.77,127.4,81.05,228586,198495,0.5739,-0.4261,IN_POSITION_CE@26000,0.0,Monitoring @ Rs.127.40
10:13:09,25995.05,56,True,26160.84,26000,0.77,127.5,80.85,228586,198495,0.5739,-0.4261,IN_POSITION_CE@26000,7.5,Monitoring @ Rs.127.50
10:13:18,25994.7,56,True,26160.84,26000,0.77,127.05,81,228586,198495,0.5739,-0.4261,IN_POSITION_CE@26000,-26.25,Monitoring @ Rs.127.05
10:13:25,25995.15,56,True,26160.84,26000,0.77,127.25,80.9,228586,198495,0.5727,-0.4273,IN_POSITION_CE@26000,-11.25,Monitoring @ Rs.127.25
