Timestamp,Spot_LTP,Fut_LTP,RSI,RSI_Ready,VWAP,EMA5,EMA13,ATM_Strike,PCR,Total_CE_OI,Total_PE_OI,CE_Symbol,CE_Strike,CE_LTP,CE_OI,CE_Delta,CE_Gamma,CE_Theta,CE_Vega,CE_IV,PE_Symbol,PE_Strike,PE_LTP,PE_OI,PE_Delta,PE_Gamma,PE_Theta,PE_Vega,PE_IV
12:54:47,26292.0,26430.2,42.6,True,26389.13,26292.59,26295.72,26300,1.86,2282572,4242845,NIFTY2610626300CE,26300,73.55,227638,0.5142,0.0023,-8.521,11.1221,6.29,NIFTY2610626300PE,26300,67.2,324562,-0.4858,0.0023,-8.521,11.1221,6.29
12:54:55,26291.75,26432.0,42.2,True,26389.13,26292.51,26295.69,26300,1.86,2282572,4242845,NIFTY2610626300CE,26300,73.2,227638,0.5161,0.0023,-8.5455,11.1204,6.31,NIFTY2610626300PE,26300,67.5,324562,-0.4839,0.0023,-8.5455,11.1204,6.31
12:55:03,26291.75,26433.8,42.5,True,26389.16,26292.42,26295.22,26300,1.86,2282572,4242857,NIFTY2610626300CE,26300,73.5,227638,0.5161,0.0023,-8.5455,11.1204,6.31,NIFTY2610626300PE,26300,67.05,324562,-0.4839,0.0023,-8.5455,11.1204,6.31
12:55:10,26290.4,26433.5,40.9,True,26389.17,26291.97,26295.02,26300,1.86,2282572,4242857,NIFTY2610626300CE,26300,73.35,227638,0.5145,0.0023,-8.5433,11.1209,6.31,NIFTY2610626300PE,26300,67.35,324562,-0.4855,0.0023,-8.5433,11.1209,6.31
12:55:18,26291.25,26433.3,41.9,True,26389.18,26292.26,26295.14,26300,1.86,2282572,4242857,NIFTY2610626300CE,26300,73.25,227638,0.516,0.0023,-8.5319,11.1196,6.3,NIFTY2610626300PE,26300,67.35,324562,-0.484,0.0023,-8.5319,11.1196,6.3
12:55:26,26291.75,26432.2,42.5,True,26389.18,26292.42,26295.22,26300,1.86,2282572,4242857,NIFTY2610626300CE,26300,73.35,227638,0.5148,0.0023,-8.5458,11.1206,6.31,NIFTY2610626300PE,26300,67.05,324562,-0.4852,0.0023,-8.5458,11.1206,6.31
12:55:34,26292.05,26433.0,42.8,True,26389.18,26292.52,26295.26,26300,1.86,2282572,4242857,NIFTY2610626300CE,26300,73.65,227638,0.5161,0.0023,-8.5409,11.1195,6.31,NIFTY2610626300PE,26300,67,324562,-0.4839,0.0023,-8.5409,11.1195,6.31
12:55:43,26293.15,26432.2,44.4,True,26389.2,26292.89,26295.42,26300,1.86,2282572,4242857,NIFTY2610626300CE,26300,73.6,227638,0.5162,0.0023,-8.5255,11.1194,6.3,NIFTY2610626300PE,26300,66.95,324562,-0.4838,0.0023,-8.5255,11.1194,6.3
12:55:51,26292.3,26428.5,43.1,True,26389.23,26292.61,26295.29,26300,1.86,2282572,4242857,NIFTY2610626300CE,26300,73.6,227638,0.5162,0.0023,-8.5255,11.1194,6.3,NIFTY2610626300PE,26300,67,324562,-0.4838,0.0023,-8.5255,11.1194,6.3
12:56:01,26291.95,26433.1,42.8,True,26389.23,26292.52,26294.89,26300,1.85,2299261,4244684,NIFTY2610626300CE,26300,73.45,234941,0.5157,0.0023,-8.5384,11.1198,6.31,NIFTY2610626300PE,26300,67.15,325774,-0.4843,0.0023,-8.5384,11.1198,6.31
