Entry_Time,Exit_Time,Symbol,Type,Entry_Price,Exit_Price,Max_Price,PnL,Balance,Exit_Reason
13:05:15,13:12:02,NIFTY25DEC26200PE,PE,80.75,64.75,85.65,-1200.0,8800.0,STOP_LOSS
13:45:13,13:51:47,NIFTY25DEC26150PE,PE,71.5,66.45,72.35,-378.75,9621.25,STOP_LOSS
13:51:53,14:01:16,NIFTY25DEC26150PE,PE,66.55,76.85,76.85,772.5,10393.75,TARGET
14:01:23,14:09:31,NIFTY25DEC26150PE,PE,77.3,71.6,77.35,-427.5,9966.25,STOP_LOSS
14:09:38,14:12:08,NIFTY25DEC26150PE,PE,71.8,73.1,74.75,97.5,10063.75,MANUAL_EXIT
14:12:24,14:12:43,NIFTY25DEC26150PE,PE,73.05,73,73.1,-3.75,9996.25,MANUAL_EXIT
14:16:37,14:26:06,NIFTY25DEC26150PE,PE,69.85,80,80,761.25,10761.25,TARGET
14:26:14,14:30:42,NIFTY25DEC26150PE,PE,78.85,73.65,85.9,-390.0,10371.25,STOP_LOSS
14:30:50,15:00:59,NIFTY25DEC26150PE,PE,73.3,73.8,82.4,37.5,10408.75,TIME_EXIT
15:01:06,15:51:09,NIFTY25DEC26150PE,PE,74.05,75.55,77.5,112.5,10521.25,MANUAL_EXIT
