Entry_Time,Exit_Time,Symbol,Type,Strike,Entry_Price,Exit_Price,Max_Price,PnL,PnL_Pct,Balance,Exit_Reason
10:12:10,10:14:55,NIFTY2610626000CE,CE,26000,127.4,133.3,133.3,442.5,4.63,20442.5,TARGET
10:16:02,10:29:28,NIFTY2610626000CE,CE,26000,131.6,137.55,137.55,446.25,4.52,20888.75,TARGET
10:30:29,10:31:20,NIFTY2610626000CE,CE,26000,137.05,143.6,143.6,491.25,4.78,21380,TARGET
10:35:16,10:41:03,NIFTY2610626050CE,CE,26050,113.7,119,119,397.5,4.66,21777.5,TARGET
10:44:51,10:47:10,NIFTY2610626050CE,CE,26050,129.25,124.65,130.05,-345,-3.56,21432.5,STOP_LOSS
10:48:11,10:48:33,NIFTY2610626050CE,CE,26050,123.2,120,123.2,-240,-2.6,21192.5,STOP_LOSS
10:51:37,10:53:26,NIFTY2610626050CE,CE,26050,122.35,127.4,127.4,378.75,4.13,21571.25,TARGET
10:54:33,10:56:06,NIFTY2610626050CE,CE,26050,127.1,124.3,127.1,-210,-2.2,21361.25,STOP_LOSS
10:57:06,11:09:14,NIFTY2610626050CE,CE,26050,125.2,122.7,128.4,-187.5,-2,21173.75,STOP_LOSS
11:10:27,11:21:46,NIFTY2610626050CE,CE,26050,124.8,122.05,128.3,-206.25,-2.2,20967.5,STOP_LOSS
11:35:51,11:40:17,NIFTY2610626050CE,CE,26050,125.5,131.7,131.7,465,4.94,21432.5,TARGET
11:41:21,11:46:22,NIFTY2610626050CE,CE,26050,131.05,128.3,132.6,-206.25,-2.1,21226.25,STOP_LOSS
11:47:22,11:55:44,NIFTY2610626050CE,CE,26050,131.15,128.6,133.05,-191.25,-1.94,21035,STOP_LOSS
11:56:47,11:57:53,NIFTY2610626050CE,CE,26050,133.5,130.65,133.5,-213.75,-2.13,20821.25,STOP_LOSS
11:58:53,12:07:22,NIFTY2610626050CE,CE,26050,130.9,137.25,137.25,476.25,4.85,21297.5,TARGET
12:08:27,12:08:57,NIFTY2610626100CE,CE,26100,108,113.5,113.5,412.5,5.09,21710,TARGET
12:09:59,12:13:27,NIFTY2610626100CE,CE,26100,110,117.05,117.05,528.75,6.41,22238.75,TARGET
,,,,,,,,2238.75,,,
