Entry_Time,Exit_Time,Symbol,Type,Strike,Entry_Price,Exit_Price,Max_Price,PnL,PnL_Pct,Balance,Exit_Reason
09:18:18,09:18:52,NIFTY25DEC25900CE,CE,25900,45.95,39.85,45.95,-457.5,-13.28,9542.5,STOP_LOSS
09:20:59,09:22:44,NIFTY25DEC25900PE,PE,25900,41.85,44.2,45,176.25,5.62,10176.25,MANUAL_EXIT
09:22:51,09:34:02,NIFTY25DEC25900PE,PE,25900,43.4,37.5,46.25,-442.5,-13.59,9557.5,STOP_LOSS
09:35:08,09:39:19,NIFTY25DEC25900CE,CE,25900,42.75,58.3,58.3,1166.25,36.37,10723.75,TARGET
09:40:21,09:43:51,NIFTY25DEC25900CE,CE,25900,59.35,70.0,70.0,798.75,17.94,11522.5,TARGET
09:54:16,09:55:43,NIFTY25DEC25950CE,CE,25950,37.25,48.3,48.3,828.75,29.66,10828.75,TARGET
09:56:48,09:59:26,NIFTY25DEC25950CE,CE,25950,42.6,36.55,44.5,-453.75,-14.2,10375.0,STOP_LOSS
10:02:16,10:05:17,NIFTY25DEC25950CE,CE,25950,36.6,32.1,38.6,-337.5,-12.3,10037.5,MANUAL_EXIT
10:54:13,11:11:01,NIFTY2610625950PE,PE,25950,106.7,206.0,206.0,7447.5,93.06,22447.5,TARGET
11:17:17,11:19:14,NIFTY2610625900PE,PE,25900,86.4,182.5,182.5,7207.5,111.23,17207.5,TARGET
11:32:10,11:40:58,NIFTY2610625900PE,PE,25900,88.7,92.75,96.65,303.75,4.57,10303.75,MANUAL_EXIT
11:52:27,12:22:05,NIFTY2610625900PE,PE,25900,91.2,96.6,98.5,405.0,5.92,10405.0,MANUAL_EXIT
