Entry_Time,Exit_Time,Strategy,Symbol,Type,Strike,Entry_Price,Exit_Price,Max_Price,PnL,PnL_Pct,Balance,Exit_Reason
09:29:34,09:33:18,ORIGINAL_1min,NIFTY2610626050CE,CE,26050,114.25,108.3,115.85,-446.25,-5.21,9553.75,STOP_LOSS
09:35:17,09:38:24,ORIGINAL_1min,NIFTY2610626000PE,PE,26000,86.8,80.9,88.95,-442.5,-6.8,9111.25,STOP_LOSS
09:40:20,09:44:46,ORIGINAL_1min,NIFTY2610626000PE,PE,26000,84.7,95.5,95.5,810.0,12.75,9921.25,TARGET
09:45:53,09:50:28,ORIGINAL_1min,NIFTY2610626000PE,PE,26000,92.8,86.8,94.65,-450.0,-6.47,9471.25,STOP_LOSS
09:51:31,09:58:37,ORIGINAL_1min,NIFTY2610626000PE,PE,26000,87.85,82.15,90.3,-427.5,-6.49,9043.75,STOP_LOSS
10:00:37,10:02:25,ORIGINAL_1min,NIFTY2610626000PE,PE,26000,87.8,82.75,89.5,-378.75,-5.75,8665.0,STOP_LOSS
10:04:59,10:07:32,ORIGINAL_1min,NIFTY2610626000PE,PE,26000,89.65,83.7,92.3,-446.25,-6.64,8218.75,STOP_LOSS
10:10:11,10:31:26,ORIGINAL_1min,NIFTY2610626100CE,CE,26100,76.2,86.75,86.75,791.25,13.85,9010.0,TARGET
10:35:21,10:41:40,ORIGINAL_1min,NIFTY2610626100CE,CE,26100,87.55,97.8,97.8,768.75,11.71,9778.75,TARGET
10:44:59,10:47:24,ORIGINAL_1min,NIFTY2610626100CE,CE,26100,101.15,96.15,101.15,-375.0,-4.94,9403.75,STOP_LOSS
10:48:33,11:18:48,ORIGINAL_1min,NIFTY2610626100CE,CE,26100,94,97.3,99.85,247.5,3.51,9651.25,TIME_EXIT
11:19:54,11:24:38,ORIGINAL_1min,NIFTY2610626100CE,CE,26100,97.55,91.55,97.55,-450.0,-6.15,9201.25,STOP_LOSS
11:36:07,12:06:12,ORIGINAL_1min,NIFTY2610626100CE,CE,26100,98.85,104.6,104.9,431.25,5.82,9632.5,TIME_EXIT
12:07:13,12:13:26,ORIGINAL_1min,NIFTY2610626100CE,CE,26100,105.2,116.65,116.65,858.75,10.88,10491.25,TARGET
12:14:28,12:44:00,ORIGINAL_1min,NIFTY2610626100CE,CE,26100,115.15,125.7,125.7,791.25,9.16,11282.5,TARGET
13:02:18,13:06:51,ORIGINAL_1min,NIFTY2610626150CE,CE,26150,125.85,119.3,125.85,-491.25,-5.2,10791.25,STOP_LOSS
13:07:58,13:35:47,ORIGINAL_1min,NIFTY2610626150CE,CE,26150,123.05,117.8,128.45,-393.75,-4.27,10397.5,STOP_LOSS
13:47:12,14:17:28,ORIGINAL_1min,NIFTY2610626200CE,CE,26200,98.6,96.35,106,-168.75,-2.28,10228.75,TIME_EXIT
14:30:32,15:00:38,ORIGINAL_1min,NIFTY2610626150CE,CE,26150,121.45,117.4,129.6,-303.75,-3.33,9925.0,TIME_EXIT
