Entry_Time,Exit_Time,Strategy,Symbol,Type,Strike,Entry_Price,Exit_Price,Max_Price,PnL,PnL_Pct,Balance,Exit_Reason
09:40:20,09:44:31,STRATEGY_A_2min,NIFTY2610626000PE,PE,26000,84.1,94.9,94.9,810.0,12.84,10810.0,TARGET
09:45:40,09:50:28,STRATEGY_A_2min,NIFTY2610626000PE,PE,26000,92.55,87.2,93.05,-401.25,-5.78,10408.75,STOP_LOSS
09:51:31,09:58:37,STRATEGY_A_2min,NIFTY2610626000PE,PE,26000,88.7,82.5,89.9,-465.0,-6.99,9943.75,STOP_LOSS
10:00:37,10:02:25,STRATEGY_A_2min,NIFTY2610626000PE,PE,26000,87.7,82.3,89.3,-405.0,-6.16,9538.75,STOP_LOSS
10:04:47,10:07:32,STRATEGY_A_2min,NIFTY2610626000PE,PE,26000,88.75,83.65,93.05,-382.5,-5.75,9156.25,STOP_LOSS
10:09:57,10:31:26,STRATEGY_A_2min,NIFTY2610626050CE,CE,26050,99.7,114,114,1072.5,14.34,10228.75,TARGET
10:32:38,10:41:40,STRATEGY_A_2min,NIFTY2610626050CE,CE,26050,115.9,126.2,126.2,772.5,8.89,11001.25,TARGET
10:42:49,10:47:24,STRATEGY_A_2min,NIFTY2610626050CE,CE,26050,130.4,124.3,130.4,-457.5,-4.68,10543.75,STOP_LOSS
10:51:40,11:21:51,STRATEGY_A_2min,NIFTY2610626050CE,CE,26050,122.35,122.05,128.3,-22.5,-0.25,10521.25,TIME_EXIT
11:36:07,12:06:12,STRATEGY_A_2min,NIFTY2610626050CE,CE,26050,125.85,133.85,134.25,600.0,6.36,11121.25,TIME_EXIT
12:07:13,12:13:26,STRATEGY_A_2min,NIFTY2610626100CE,CE,26100,105,116,116,825,10.48,11946.25,TARGET
12:14:28,12:43:48,STRATEGY_A_2min,NIFTY2610626100CE,CE,26100,115,125,125,750,8.7,12696.25,TARGET
12:45:01,12:48:47,STRATEGY_A_2min,NIFTY2610626100CE,CE,26100,131.6,142,142,780.0,7.9,13476.25,TARGET
12:49:55,12:53:48,STRATEGY_A_2min,NIFTY2610626150CE,CE,26150,114.2,125.35,125.35,836.25,9.76,14312.5,TARGET
12:54:50,13:24:58,STRATEGY_A_2min,NIFTY2610626150CE,CE,26150,122.1,124.25,131,161.25,1.76,14473.75,TIME_EXIT
13:25:58,13:35:32,STRATEGY_A_2min,NIFTY2610626150CE,CE,26150,123.45,118.4,128.75,-378.75,-4.09,14095.0,STOP_LOSS
13:45:36,13:58:19,STRATEGY_A_2min,NIFTY2610626150CE,CE,26150,123.35,133.5,133.5,761.25,8.23,14856.25,TARGET
13:59:24,14:00:10,STRATEGY_A_2min,NIFTY2610626200CE,CE,26200,105.95,100.3,105.95,-423.75,-5.33,14432.5,STOP_LOSS
14:03:07,14:17:44,STRATEGY_A_2min,NIFTY2610626150CE,CE,26150,127.55,121.8,130.55,-431.25,-4.51,14001.25,STOP_LOSS
14:19:28,14:49:31,STRATEGY_A_2min,NIFTY2610626150CE,CE,26150,123.45,125,129.8,116.25,1.26,14117.5,TIME_EXIT
14:50:33,15:00:38,STRATEGY_A_2min,NIFTY2610626200CE,CE,26200,97.05,90.45,98.5,-495.0,-6.8,13622.5,STOP_LOSS
