Entry_Time,Exit_Time,Strategy,Symbol,Type,Strike,Entry_Price,Exit_Price,Max_Price,PnL,PnL_Pct,Balance,Exit_Reason
11:03:14,11:33:21,STRATEGY_A,NIFTY2610625900PE,PE,25900,85.5,92.35,92.8,513.75,8.01,10513.75,TIME_EXIT
11:34:24,11:45:01,STRATEGY_A,NIFTY2610625900PE,PE,25900,92.3,86.95,96.6,-401.25,-5.8,10112.5,STOP_LOSS
11:53:18,12:21:36,STRATEGY_A,NIFTY2610625900PE,PE,25900,91.2,95.85,98.6,348.75,5.1,10461.25,MANUAL_EXIT
,,,,,,,,,461,,,
12:25:34,12:37:59,STRATEGY_A,NIFTY2610625850PE,PE,25850,77.95,72.2,78.5,-431.25,-7.38,9568.75,STOP_LOSS
12:53:09,13:23:21,STRATEGY_A,NIFTY2610625850PE,PE,25850,73.3,74.85,79.25,116.25,2.11,9685,TIME_EXIT
13:25:21,13:32:05,STRATEGY_A,NIFTY2610625850PE,PE,25850,75.3,69.95,75.7,-401.25,-7.1,9283.75,STOP_LOSS
,,,,,,,,,-716,,,
13:39:42,13:43:53,STRATEGY_A,NIFTY2610626000CE,CE,26000,99.7,109.8,109.8,757.5,10.13,10757.5,TARGET
13:44:58,14:08:21,STRATEGY_A,NIFTY2610626000CE,CE,26000,110.45,105,116.8,-408.75,-4.93,10348.75,STOP_LOSS
14:12:50,14:24:09,STRATEGY_A,NIFTY2610626000CE,CE,26000,109.55,102.85,115.4,-502.5,-6.12,9846.25,STOP_LOSS
14:26:23,14:31:52,STRATEGY_A,NIFTY2610625900PE,PE,25900,79.65,73.65,79.65,-450,-7.53,9396.25,STOP_LOSS
14:33:46,15:03:47,STRATEGY_A,NIFTY2610626000CE,CE,26000,107.1,105.8,113.3,-97.5,-1.21,9298.75,TIME_EXIT
,,,,,,,,,-701,,,
15:05:41,15:25:10,STRATEGY_A,NIFTY2610626000CE,CE,26000,107.6,112.95,113.25,401.25,4.97,10401.25,EOD_EXIT
,,,,,,,,,401,,,
,,,,,,,,,,,,
,,,,,,,,,-555,,,
