Timestamp,Spot,Future,RSI,ADX,ATR,VWAP,EMA5,EMA13,ATM,PCR,Volume_Rel
12:26:34,25734.10,25842.90,31.6,31.0,9.9,26184.83,25738.59,25744.07,25750,0.54,1.00
12:26:40,25732.75,25840.50,30.9,31.0,9.9,26184.81,25738.14,25743.87,25750,0.54,1.00
12:26:46,25731.95,25840.40,30.5,31.0,9.9,26184.80,25737.88,25743.76,25750,0.54,1.00
12:26:52,25731.80,25840.40,30.5,31.0,10.0,26184.77,25737.83,25743.74,25750,0.54,1.00
12:26:59,25732.90,25840.00,31.0,31.0,10.0,26184.73,25738.19,25743.89,25750,0.54,1.00
12:27:05,25732.50,25839.00,30.8,31.0,10.0,26184.62,25738.06,25743.84,25750,0.54,3.59
12:27:12,25730.80,25838.00,30.0,31.3,10.1,26184.61,25737.49,25743.59,25750,0.54,2.60
12:27:18,25729.75,25838.60,29.5,31.3,10.1,26184.60,25737.14,25743.44,25750,0.54,2.23
12:27:25,25729.70,25838.60,29.5,31.8,10.2,26184.57,25737.13,25743.44,25750,0.54,2.15
12:27:31,25728.10,25837.50,28.8,31.9,10.3,26184.55,25736.59,25743.21,25750,0.54,2.04
12:27:38,25731.40,25837.40,30.3,31.9,10.3,26184.50,25737.69,25743.68,25750,0.54,2.13
12:27:44,25730.60,25840.40,29.9,31.9,10.3,26184.43,25737.43,25743.57,25750,0.54,2.31
12:27:50,25728.50,25840.40,29.0,31.9,10.3,26184.43,25736.73,25743.27,25750,0.54,2.11
12:27:56,25727.95,25837.00,28.8,31.9,10.3,26184.41,25736.54,25743.19,25750,0.54,2.01
12:28:03,25727.70,25837.00,28.7,34.1,9.7,nan,25733.67,25741.02,25750,0.54,nan
12:28:09,25728.95,25837.10,29.6,34.2,9.9,26184.39,25734.09,25741.20,25750,0.54,1.00
12:28:15,25728.60,25837.10,29.3,34.2,9.9,26184.37,25733.97,25741.15,25750,0.54,1.00
12:28:21,25729.00,25840.00,29.7,34.2,9.9,26184.37,25734.11,25741.20,25750,0.54,1.00
12:28:28,25729.90,25839.90,30.7,34.2,9.9,26184.37,25734.41,25741.33,25750,0.54,1.00
12:28:34,25729.65,25837.10,30.4,34.2,9.9,26184.36,25734.32,25741.30,25750,0.54,1.00
12:28:41,25727.45,25836.00,28.5,34.2,9.9,26184.34,25733.59,25740.98,25750,0.54,1.00
12:28:47,25726.00,25835.00,27.9,34.4,9.9,26184.33,25733.11,25740.78,25750,0.54,1.00
12:28:54,25727.15,25837.10,28.4,34.5,10.0,26184.32,25733.49,25740.94,25750,0.54,1.00
12:29:00,25726.40,25837.10,28.1,34.5,10.0,26184.31,25733.24,25740.83,25750,0.54,1.00
12:29:06,25727.45,25835.00,28.5,34.5,10.0,26184.31,25733.59,25740.98,25750,0.53,1.00
12:29:14,25726.70,25835.00,28.2,34.5,10.0,26184.28,25733.34,25740.88,25750,0.53,1.00
12:29:23,25724.75,25835.20,27.4,34.7,10.1,26184.23,25732.69,25740.60,25700,0.53,1.00
12:29:30,25724.70,25832.00,27.4,34.9,10.1,26184.21,25732.67,25740.59,25700,0.53,1.00
12:29:38,25721.10,25828.50,26.0,35.4,10.3,26184.11,25731.47,25740.08,25700,0.53,1.00
12:29:44,25719.20,25825.00,25.3,35.6,10.4,26184.03,25730.84,25739.80,25700,0.53,1.00
12:29:51,25716.35,25820.80,24.3,36.1,10.7,26183.87,25729.89,25739.40,25700,0.53,1.00
12:29:57,25717.25,25825.20,24.6,36.1,10.7,26183.80,25730.19,25739.53,25700,0.53,1.00
12:30:04,25718.70,25825.10,26.5,39.8,9.8,26183.75,25726.25,25736.49,25700,0.53,1.00
