Timestamp,Spot_LTP,Fut_LTP,RSI,RSI_Ready,VWAP,EMA5,EMA13,ATM_Strike,PCR,Total_CE_OI,Total_PE_OI,CE_Symbol,CE_Strike,CE_LTP,CE_OI,CE_Delta,CE_Gamma,CE_Theta,CE_Vega,CE_IV,PE_Symbol,PE_Strike,PE_LTP,PE_OI,PE_Delta,PE_Gamma,PE_Theta,PE_Vega,PE_IV
13:41:10,25933.5,25940.9,30.5,True,26014.1,25935.03,25939.72,25950,0.53,3958849,2114522,NIFTY25DEC25950CE,25950,45.3,178062,0.4625,0.0031,-23.8925,5.5889,9.19,NIFTY25DEC25950PE,25950,59,139244,-0.5375,0.0031,-23.8925,5.5889,9.19
13:41:17,25932.0,25941.9,27.0,True,26013.99,25934.53,25939.51,25950,0.53,3964106,2114353,NIFTY25DEC25950CE,25950,45.2,178062,0.4625,0.0031,-23.8925,5.5889,9.19,NIFTY25DEC25950PE,25950,59.35,139244,-0.5375,0.0031,-23.8925,5.5889,9.19
13:41:24,25933.35,25941.9,30.2,True,26013.96,25934.98,25939.7,25950,0.52,3973807,2065725,NIFTY25DEC25950CE,25950,45.8,193942,0.4614,0.0031,-23.8445,5.5872,9.18,NIFTY25DEC25950PE,25950,58.3,127948,-0.5386,0.0031,-23.8445,5.5872,9.18
13:41:32,25935.35,25942.4,34.4,True,26013.93,25935.65,25939.98,25950,0.52,3973477,2065328,NIFTY25DEC25950CE,25950,46.6,193942,0.4637,0.0031,-23.9066,5.5906,9.19,NIFTY25DEC25950PE,25950,56.95,127948,-0.5363,0.0031,-23.9066,5.5906,9.19
13:41:40,25931.5,25941.4,26.4,True,26013.82,25934.37,25939.43,25950,0.52,3973477,2065210,NIFTY25DEC25950CE,25950,45.35,193942,0.4637,0.0031,-23.9066,5.5906,9.19,NIFTY25DEC25950PE,25950,58.05,127948,-0.5363,0.0031,-23.9066,5.5906,9.19
13:41:48,25933.85,25942.4,31.3,True,26013.78,25935.15,25939.77,25950,0.52,3973521,2065162,NIFTY25DEC25950CE,25950,45.4,193942,0.4683,0.0031,-23.6776,5.5964,9.1,NIFTY25DEC25950PE,25950,58.4,127948,-0.5317,0.0031,-23.6776,5.5964,9.1
13:41:56,25933.8,25939.5,31.2,True,26013.75,25935.13,25939.76,25950,0.52,3973521,2065155,NIFTY25DEC25950CE,25950,45.6,193942,0.4598,0.0031,-23.8256,5.585,9.17,NIFTY25DEC25950PE,25950,58.05,127948,-0.5402,0.0031,-23.8256,5.585,9.17
13:42:04,25936.0,25943.3,36.0,True,26013.61,25935.42,25939.23,25950,0.52,3973510,2065155,NIFTY25DEC25950CE,25950,45.75,193942,0.4598,0.0031,-23.8256,5.585,9.17,NIFTY25DEC25950PE,25950,57.85,127948,-0.5402,0.0031,-23.8256,5.585,9.17
13:42:12,25934.7,25941.4,33.3,True,26013.5,25934.99,25939.04,25950,0.52,3973520,2065154,NIFTY25DEC25950CE,25950,45.55,193942,0.4629,0.0031,-23.7976,5.5877,9.15,NIFTY25DEC25950PE,25950,58.3,127948,-0.5371,0.0031,-23.7976,5.5877,9.15
13:42:20,25935.8,25942.3,35.6,True,26013.44,25935.36,25939.2,25950,0.52,3973557,2065154,NIFTY25DEC25950CE,25950,45.75,193942,0.4662,0.0031,-23.7177,5.592,9.11,NIFTY25DEC25950PE,25950,57.85,127948,-0.5338,0.0031,-23.7177,5.592,9.11
