Timestamp,Strategy,Spot,RSI,RSI_Ready,VWAP,ATM_Strike,PCR,CE_Price,PE_Price,CE_OI,PE_OI,CE_Delta,PE_Delta,Status,PnL,Reason
11:02:51,ORIGINAL,25929.1,36,True,26094.68,25950,0.76,136.6,105.85,17784,18824,0.5423,-0.4577,SCANNING,0,Waiting for entry
11:02:59,ORIGINAL,25929.45,36,True,26094.68,25950,0.76,137.55,104.35,17784,18824,0.5423,-0.4577,SCANNING,0,Waiting for entry
11:03:07,ORIGINAL,25929.7,37,True,26094.68,25950,0.76,137,105.3,17784,18824,0.5452,-0.4548,SCANNING,0,Waiting for entry
11:03:23,ORIGINAL,25927.65,35,True,26094.68,25950,0.76,135.7,106.5,17784,18824,0.5421,-0.4579,IN_POSITION_PE,-22.5,Monitoring @ Rs.85.60
11:03:37,ORIGINAL,25926.85,34,True,26094.69,25950,0.76,136.25,105.4,17784,18824,0.5403,-0.4597,IN_POSITION_PE,-41.25,Monitoring @ Rs.84.95
11:03:51,ORIGINAL,25926.85,34,True,26094.68,25950,0.76,135.4,106.45,17784,18824,0.5413,-0.4587,IN_POSITION_PE,22.5,Monitoring @ Rs.85.80
11:04:03,ORIGINAL,25927.7,35,True,26094.69,25950,0.76,135.45,106.05,17784,18824,0.5399,-0.4601,IN_POSITION_PE,18.75,Monitoring @ Rs.85.35
11:04:15,ORIGINAL,25925.95,33,True,26094.69,25950,0.76,134.4,106.7,17784,18824,0.5406,-0.4594,IN_POSITION_PE,26.25,Monitoring @ Rs.85.65
11:04:28,ORIGINAL,25925.45,33,True,26094.68,25950,0.76,134.5,106.8,17784,18824,0.5386,-0.4614,IN_POSITION_PE,37.5,Monitoring @ Rs.86.00
11:04:42,ORIGINAL,25927.65,35,True,26094.69,25950,0.76,134.95,106.55,17784,18824,0.5397,-0.4603,IN_POSITION_PE,15.0,Monitoring @ Rs.85.75
11:04:59,ORIGINAL,25926.25,33,True,26094.68,25950,0.76,135.25,106.5,17983,19028,0.5404,-0.4596,IN_POSITION_PE,15.0,Monitoring @ Rs.85.95
11:05:16,ORIGINAL,25929.7,39,True,26094.68,25950,0.76,136.3,104.85,17983,19028,0.54,-0.46,IN_POSITION_PE,-97.5,Monitoring @ Rs.85.35
11:05:29,ORIGINAL,25932.6,44,True,26094.7,25950,0.76,138.45,103.2,17983,19028,0.5433,-0.4567,IN_POSITION_PE,-206.25,Monitoring @ Rs.83.60
11:05:42,ORIGINAL,25932.7,44,True,26094.7,25950,0.76,139,103.6,17983,19028,0.5483,-0.4517,IN_POSITION_PE,-187.5,Monitoring @ Rs.83.05
11:05:57,ORIGINAL,25930.8,41,True,26094.7,25950,0.76,136.9,105.3,17983,19028,0.5439,-0.4561,IN_POSITION_PE,-45.0,Monitoring @ Rs.84.90
11:06:12,ORIGINAL,25930.8,41,True,26094.7,25950,0.76,138.5,104.3,17983,19028,0.5439,-0.4561,IN_POSITION_PE,-112.5,Monitoring @ Rs.84.00
11:06:26,ORIGINAL,25929.4,39,True,26094.7,25950,0.76,138.25,104.7,17983,19028,0.5466,-0.4534,IN_POSITION_PE,-97.5,Monitoring @ Rs.84.05
11:06:43,ORIGINAL,25927.35,37,True,26094.7,25950,0.76,135.3,106.8,17983,19028,0.5453,-0.4547,IN_POSITION_PE,-75.0,Monitoring @ Rs.85.90
11:06:56,ORIGINAL,25927.6,38,True,26094.7,25950,0.76,133.6,107.8,17983,19028,0.545,-0.455,IN_POSITION_PE,-11.25,Monitoring @ Rs.85.35
11:07:10,ORIGINAL,25928.3,39,True,26094.7,25950,0.76,135.95,105.9,17983,19028,0.5416,-0.4584,IN_POSITION_PE,-18.75,Monitoring @ Rs.85.50
11:07:25,ORIGINAL,25929.05,40,True,26094.7,25950,0.76,136.3,106,17983,19028,0.5417,-0.4583,IN_POSITION_PE,33.75,Monitoring @ Rs.85.90
11:07:39,ORIGINAL,25932.35,45,True,26094.72,25950,0.76,136.65,106,17983,18787,0.5425,-0.4575,IN_POSITION_PE,22.5,Monitoring @ Rs.85.90
11:07:54,ORIGINAL,25931.25,43,True,26094.71,25950,0.76,137.35,106,18252,18787,0.5419,-0.4581,IN_POSITION_PE,7.5,Monitoring @ Rs.85.55
11:08:12,ORIGINAL,25929.05,41,True,26094.72,25950,0.76,136.4,106.2,18252,18787,0.5416,-0.4584,IN_POSITION_PE,37.5,Monitoring @ Rs.86.10
11:08:27,ORIGINAL,25932.45,45,True,26094.72,25950,0.76,137.65,105.5,18252,18787,0.5406,-0.4594,IN_POSITION_PE,45.0,Monitoring @ Rs.85.85
11:08:43,ORIGINAL,25928.75,41,True,26094.72,25950,0.76,137.2,106.35,18252,18787,0.5442,-0.4558,IN_POSITION_PE,45.0,Monitoring @ Rs.85.75
11:08:58,ORIGINAL,25931.35,43,True,26094.73,25950,0.76,138,105.6,18252,18787,0.5405,-0.4595,IN_POSITION_PE,-11.25,Monitoring @ Rs.85.35
11:09:15,ORIGINAL,25929.5,41,True,26094.74,25950,0.76,137.4,106.45,18252,18787,0.5433,-0.4567,IN_POSITION_PE,56.25,Monitoring @ Rs.85.90
11:09:29,ORIGINAL,25929.9,42,True,26094.74,25950,0.76,138,105.85,18252,18787,0.542,-0.458,IN_POSITION_PE,18.75,Monitoring @ Rs.85.75
