Strategy,Initial_Capital,Final_Capital,Total_PnL,PnL_Pct,Total_Trades,Wins,Losses,Win_Rate,Best_Trade,Worst_Trade,Avg_Win,Avg_Loss,Profit_Factor
ORIGINAL,10000,9231.25,-768.75,-7.69,3,1,2,33.33,60.0,-427.5,60.0,-414.37,0.07
STRATEGY_A,10000,9283.75,-716.25,-7.16,3,1,2,33.33,116.25,-431.25,116.25,-416.25,0.14
STRATEGY_B,10000,10000,0,0.0,0,0,0,0,0,0,0,0,0
STRATEGY_C,10000,9602.5,-397.5,-3.98,1,0,1,0.0,-397.5,-397.5,0,-397.5,0.0
ORIGINAL,10000,8803.75,-1196.25,-11.96,6,1,5,16.67,787.5,-498.75,787.5,-396.75,0.4
STRATEGY_A,10000,9298.75,-701.25,-7.01,5,1,4,20.0,757.5,-502.5,757.5,-364.69,0.52
STRATEGY_B,10000,9632.5,-367.5,-3.67,2,1,1,50.0,48.75,-416.25,48.75,-416.25,0.12
STRATEGY_C,10000,10000,0,0.0,0,0,0,0,0,0,0,0,0
ORIGINAL,10000,10401.25,401.25,4.01,1,1,0,100.0,401.25,401.25,401.25,0,999.99
STRATEGY_A,10000,10401.25,401.25,4.01,1,1,0,100.0,401.25,401.25,401.25,0,999.99
STRATEGY_B,10000,10000,0,0.0,0,0,0,0,0,0,0,0,0
STRATEGY_C,10000,10202.5,202.5,2.02,1,1,0,100.0,202.5,202.5,202.5,0,999.99
