datetime,open,high,low,close,volume,oi
2025-12-03T09:15:00,41.1,47.55,40.6,47.15,1264725,45011.0
2025-12-03T09:16:00,47.8,48.45,43.5,44.4,1028400,46545.0
2025-12-03T09:17:00,44.3,45.15,43.1,43.65,498450,
2025-12-03T09:18:00,43.05,45.45,42.75,43.4,534000,
2025-12-03T09:19:00,43.2,44.15,42.05,43.25,344475,49121.0
2025-12-03T09:20:00,44.05,45.25,42.9,43.9,476925,
2025-12-03T09:21:00,43.95,45.3,43.8,44.5,361125,
2025-12-03T09:22:00,44.55,45.85,44.3,44.35,393525,50330.0
2025-12-03T09:23:00,44.3,44.35,42.2,42.55,364350,
2025-12-03T09:24:00,42.25,45.4,42.25,45.05,504750,
2025-12-03T09:25:00,44.9,46.7,44.4,46.2,525450,51150.0
2025-12-03T09:26:00,45.7,49.3,45.45,49.05,537900,
2025-12-03T09:27:00,49.2,56.5,49.05,56.5,1591725,
2025-12-03T09:28:00,57.1,59.8,56.05,57.1,1412100,50824.0
2025-12-03T09:29:00,56.9,58.0,55.05,57.35,815175,
2025-12-03T09:30:00,57.6,58.7,56.2,57.9,622425,
2025-12-03T09:31:00,58.0,58.0,55.35,57.6,780600,48065.0
2025-12-03T09:32:00,57.25,57.75,55.45,57.5,408300,
2025-12-03T09:33:00,57.8,65.25,57.3,65.25,1448775,
2025-12-03T09:34:00,64.85,69.85,63.7,68.75,1518225,47449.0
2025-12-03T09:35:00,68.4,68.4,65.0,67.25,942825,
2025-12-03T09:36:00,66.9,67.6,65.3,65.55,797250,
2025-12-03T09:37:00,65.3,72.85,65.3,69.4,1295475,45474.0
2025-12-03T09:38:00,69.15,70.2,68.45,69.4,576525,
2025-12-03T09:39:00,69.2,71.3,69.1,70.5,534525,
2025-12-03T09:40:00,70.55,70.9,68.7,69.45,548100,44134.0
2025-12-03T09:41:00,69.3,69.3,65.85,66.3,591375,
2025-12-03T09:42:00,66.75,67.15,62.0,62.85,765450,
2025-12-03T09:43:00,62.9,66.65,62.8,66.65,531075,44532.0
2025-12-03T09:44:00,66.15,66.6,65.35,65.8,351900,
2025-12-03T09:45:00,65.7,66.9,65.05,66.25,379575,
2025-12-03T09:46:00,66.3,66.55,64.15,65.5,291075,45785.0
2025-12-03T09:47:00,65.3,68.1,64.75,64.8,406125,
2025-12-03T09:48:00,64.85,69.05,63.85,69.05,461325,
2025-12-03T09:49:00,68.55,69.45,65.7,65.7,534750,46086.0
2025-12-03T09:50:00,65.65,69.3,65.4,68.55,425850,
2025-12-03T09:51:00,68.4,69.75,67.7,68.8,501825,
2025-12-03T09:52:00,68.65,68.8,66.15,66.2,309300,47162.0
2025-12-03T09:53:00,66.25,67.15,65.2,66.15,239250,
2025-12-03T09:54:00,66.0,67.2,64.6,66.75,330000,
2025-12-03T09:55:00,66.55,67.65,66.0,66.0,217425,47352.0
2025-12-03T09:56:00,66.3,66.3,64.5,65.2,221100,
2025-12-03T09:57:00,65.7,67.1,65.2,67.1,204900,
2025-12-03T09:58:00,67.15,67.25,64.65,64.8,238575,47734.0
2025-12-03T09:59:00,65.05,65.15,62.75,64.0,358575,
2025-12-03T10:00:00,63.65,66.4,63.6,66.4,495225,
2025-12-03T10:01:00,66.45,67.55,65.35,66.45,332925,47181.0
2025-12-03T10:02:00,66.8,67.65,66.05,67.2,231300,
2025-12-03T10:03:00,67.15,72.5,67.15,72.2,1002000,
2025-12-03T10:04:00,71.9,74.6,71.35,73.7,921975,47008.0
2025-12-03T10:05:00,73.4,74.5,72.85,74.3,761475,
2025-12-03T10:06:00,74.15,74.9,73.05,73.05,528825,
2025-12-03T10:07:00,73.0,75.95,72.8,75.1,719850,46860.0
2025-12-03T10:08:00,74.95,75.15,71.25,71.45,680550,
2025-12-03T10:09:00,71.55,74.5,70.95,73.65,583350,
