Exchange,Token,Symbol,Instrument,OptionType,LotSize
NSE,26013,Nifty Next 50,UNDIND,,1
NSE,26037,Nifty Fin,UNDIND,,1
NSE,26009,Nifty Bank,UNDIND,,1
NSE,26000,Nifty 50,UNDIND,,1
NSE,10690,NIFTYQLITY-EQ,EQ,,1
NSE,29553,NIFTYIETF-EQ,EQ,,1
NSE,6353,NIFTYETF-EQ,EQ,,1
NSE,759302,NIFTYCASE-EQ,EQ,,1
NSE,21959,NIFTYBETF-EQ,EQ,,1
NSE,10511,NIFTYBETA-EQ,EQ,,1
NSE,10576,NIFTYBEES-EQ,EQ,,1
NSE,7451,NIFTYADD-EQ,EQ,,1
NSE,29944,NIFTY100EW-EQ,EQ,,1
NSE,18102,NIFTY1-EQ,EQ,,1
NSE,26145,Nifty500 Health,UNDIND,,1
NSE,26144,Nifty InfraLog,UNDIND,,1
NSE,26143,Nifty Waves,UNDIND,,1
NSE,26142,Nifty Chemicals,UNDIND,,1
NSE,26141,Nifty Internet,UNDIND,,1
NSE,26140,Nifty SME Emerge,UNDIND,,1
NSE,26139,Nifty FPI 150,UNDIND,,1
NSE,26136,Nifty TMMQ 50,UNDIND,,1
NSE,26135,Nifty500 Flexicap,UNDIND,,1
NSE,26134,Nifty50 USD,UNDIND,,1
NSE,26133,Nifty500 MQVLv50,UNDIND,,1
NFO,49234,NIFTYNXT5027JAN26F,FUTIDX,XX,25
NFO,49229,NIFTY27JAN26F,FUTIDX,XX,65
NFO,59187,NIFTYNXT5024FEB26F,FUTIDX,XX,25
NFO,59182,NIFTY24FEB26F,FUTIDX,XX,65
NFO,51715,NIFTYNXT5030MAR26F,FUTIDX,XX,25
NFO,51714,NIFTY30MAR26F,FUTIDX,XX,65
NFO,51248,NIFTY20JAN26C20350,OPTIDX,CE,65
NFO,51249,NIFTY20JAN26P20350,OPTIDX,PE,65
NFO,38639,NIFTY20JAN26C20400,OPTIDX,CE,65
NFO,38640,NIFTY20JAN26P20400,OPTIDX,PE,65
NFO,45581,NIFTY20JAN26C20450,OPTIDX,CE,65
NFO,45582,NIFTY20JAN26P20450,OPTIDX,PE,65
NFO,45584,NIFTY20JAN26C20500,OPTIDX,CE,65
NFO,45585,NIFTY20JAN26P20500,OPTIDX,PE,65
NFO,39769,NIFTY20JAN26C20550,OPTIDX,CE,65
NFO,39770,NIFTY20JAN26P20550,OPTIDX,PE,65
NFO,47311,NIFTY20JAN26C20600,OPTIDX,CE,65
NFO,47312,NIFTY20JAN26P20600,OPTIDX,PE,65
NFO,47313,NIFTY20JAN26C20650,OPTIDX,CE,65
NFO,47314,NIFTY20JAN26P20650,OPTIDX,PE,65
NFO,47315,NIFTY20JAN26C20700,OPTIDX,CE,65
NFO,47320,NIFTY20JAN26P20700,OPTIDX,PE,65
NFO,47321,NIFTY20JAN26C20750,OPTIDX,CE,65
NFO,47322,NIFTY20JAN26P20750,OPTIDX,PE,65
NFO,47323,NIFTY20JAN26C20800,OPTIDX,CE,65
